年月,東京市場(円)
1980年1月,238.8
1980年2月,249.8
1980年3月,249.7
1980年4月,238.3
1980年5月,224.4
1980年6月,218.15
1980年7月,226.85
1980年8月,219.2
1980年9月,212
1980年10月,211.75
1980年11月,216.75
1980年12月,203.6
1981年1月,205.2
1981年2月,208.85
1981年3月,211.4
1981年4月,215
1981年5月,223.5
1981年6月,225.75
1981年7月,239.75
1981年8月,228.75
1981年9月,231.55
1981年10月,233.35
1981年11月,214.15
1981年12月,220.25
1982年1月,228.45
1982年2月,235.2
1982年3月,248.3
1982年4月,236.3
1982年5月,243.7
1982年6月,255.55
1982年7月,256.65
1982年8月,259.6
1982年9月,269.4
1982年10月,277.4
1982年11月,253.45
1982年12月,235.3
1983年1月,238.4
1983年2月,235.55
1983年3月,239.3
1983年4月,237.7
1983年5月,238.6
1983年6月,239.8
1983年7月,241.5
1983年8月,246.75
1983年9月,236.1
1983年10月,233.65
1983年11月,234.2
1983年12月,232
1984年1月,234.74
1984年2月,233.28
1984年3月,224.75
1984年4月,226.3
1984年5月,231.63
1984年6月,237.45
1984年7月,245.45
1984年8月,241.7
1984年9月,245.4
1984年10月,245.3
1984年11月,246.5
1984年12月,251.58
1985年1月,254.78
1985年2月,259
1985年3月,250.7
1985年4月,251.4
1985年5月,251.78
1985年6月,248.95
1985年7月,236.65
1985年8月,237.1
1985年9月,216
1985年10月,211.8
1985年11月,202.05
1985年12月,200.6
1986年1月,192.65
1986年2月,180.45
1986年3月,179.65
1986年4月,168.1
1986年5月,172.05
1986年6月,163.95
1986年7月,154.15
1986年8月,156.05
1986年9月,153.63
1986年10月,161.45
1986年11月,162.2
1986年12月,160.1
1987年1月,152.3
1987年2月,153.15
1987年3月,145.65
1987年4月,139.65
1987年5月,144.15
1987年6月,146.75
1987年7月,149.25
1987年8月,142.35
1987年9月,146.35
1987年10月,138.55
1987年11月,132.45
1987年12月,122
1988年1月,127.18
1988年2月,128.12
1988年3月,124.5
1988年4月,124.82
1988年5月,124.8
1988年6月,132.2
1988年7月,132.53
1988年8月,134.97
