年月,東京市場(円)
1988年9月,134.3
1988年10月,125
1988年11月,121.85
1988年12月,125.9
1989年1月,129.13
1989年2月,127.15
1989年3月,132.55
1989年4月,132.49
1989年5月,142.7
1989年6月,143.95
1989年7月,138.4
1989年8月,144.28
1989年9月,139.35
1989年10月,142.15
1989年11月,142.9
1989年12月,143.4
1990年1月,144.4
1990年2月,148.52
1990年3月,157.65
1990年4月,159.08
1990年5月,151.75
1990年6月,152.85
1990年7月,147.5
1990年8月,144.5
1990年9月,137.95
1990年10月,129.35
1990年11月,132.75
1990年12月,135.4
1991年1月,131.4
1991年2月,131.95
1991年3月,140.55
1991年4月,137.42
1991年5月,137.97
1991年6月,138.15
1991年7月,137.83
1991年8月,136.88
1991年9月,132.95
1991年10月,131
1991年11月,130.07
1991年12月,125.25
1992年1月,125.78
1992年2月,129.33
1992年3月,133.05
1992年4月,133.38
1992年5月,128.33
1992年6月,125.55
1992年7月,127.3
1992年8月,123.42
1992年9月,119.25
1992年10月,123.35
1992年11月,124.75
1992年12月,124.65
1993年1月,124.3
1993年2月,117.85
1993年3月,115.35
1993年4月,111.1
1993年5月,107.45
1993年6月,106.51
1993年7月,105.6
1993年8月,104.18
1993年9月,105.1
1993年10月,108.23
1993年11月,108.82
1993年12月,111.89
1994年1月,109.55
1994年2月,104.3
1994年3月,102.8
1994年4月,102.38
1994年5月,104.38
1994年6月,98.95
1994年7月,99.93
1994年8月,99.57
1994年9月,98.59
1994年10月,97.37
1994年11月,98.98
1994年12月,99.83
1995年1月,98.58
1995年2月,96.93
1995年3月,88.38
1995年4月,83.77
1995年5月,83.19
1995年6月,84.77
1995年7月,88.17
1995年8月,97.46
1995年9月,98.18
1995年10月,101.9
1995年11月,101.66
1995年12月,102.91
1996年1月,106.92
1996年2月,104.58
1996年3月,106.49
1996年4月,104.29
1996年5月,108.37
1996年6月,109.88
1996年7月,107.13
1996年8月,108.4
1996年9月,111.45
1996年10月,113.27
1996年11月,113.44
1996年12月,115.98
1997年1月,122.13
1997年2月,120.88
1997年3月,123.97
1997年4月,126.92
1997年5月,116.43
1997年6月,114.3
1997年7月,117.74
1997年8月,119.39
1997年9月,121.44
1997年10月,120.29
1997年11月,127.66
1997年12月,129.92
1998年1月,127.34
1998年2月,126.72
1998年3月,133.39
1998年4月,131.95
1998年5月,138.72
1998年6月,139.95
1998年7月,143.79
1998年8月,141.52
1998年9月,135.72
1998年10月,116.09
1998年11月,123.83
1998年12月,115.2
1999年1月,115.98
1999年2月,120.32
1999年3月,119.99
1999年4月,119.59
1999年5月,121.37
1999年6月,120.87
1999年7月,115.27
1999年8月,110.19
1999年9月,105.66
1999年10月,104.89
1999年11月,102.42
1999年12月,102.08
2000年1月,106.9
2000年2月,110.27
2000年3月,105.29
2000年4月,106.44
2000年5月,107.3
2000年6月,105.4
2000年7月,109.52
2000年8月,106.43
2000年9月,107.75
2000年10月,108.81
2000年11月,111.07
2000年12月,114.9
2001年1月,116.38
2001年2月,116.44
2001年3月,125.27
2001年4月,124.06
2001年5月,119.06
2001年6月,124.27
2001年7月,124.79
2001年8月,118.92
2001年9月,119.29
2001年10月,121.84
2001年11月,123.98
2001年12月,131.47
2002年1月,132.94
2002年2月,133.89
2002年3月,132.71
2002年4月,127.97
2002年5月,123.96
2002年6月,119.22
2002年7月,119.82
2002年8月,117.97
2002年9月,121.79
2002年10月,122.48
2002年11月,122.44
2002年12月,119.37
2003年1月,119.21
2003年2月,117.75
2003年3月,119.02
2003年4月,119.46
2003年5月,118.63
2003年6月,119.82
2003年7月,120.11
2003年8月,117.13
2003年9月,110.48
2003年10月,108.99
2003年11月,109.34
2003年12月,106.97
2004年1月,105.88
2004年2月,109.08
2004年3月,103.95
2004年4月,110.44
2004年5月,109.56
2004年6月,108.69
2004年7月,111.67
2004年8月,109.86
2004年9月,110.92
2004年10月,105.87
2004年11月,103.17
2004年12月,103.78
2005年1月,103.58
2005年2月,104.58
2005年3月,106.97
2005年4月,105.87
2005年5月,108.17
2005年6月,110.37
2005年7月,112.18
2005年8月,111.42
2005年9月,113.28
2005年10月,115.67
2005年11月,119.46
2005年12月,117.48
2006年1月,117.18
2006年2月,116.35
2006年3月,117.47
2006年4月,114.32
2006年5月,111.85
2006年6月,114.66
2006年7月,114.47
2006年8月,117.23
2006年9月,118.05
2006年10月,117.74
2006年11月,116.12
2006年12月,118.92
2007年1月,121.34
2007年2月,118.59
2007年3月,118.05
2007年4月,119.41
2007年5月,121.63
2007年6月,123.48
2007年7月,118.99
2007年8月,116.24
2007年9月,115.27
2007年10月,114.78
2007年11月,110.29
2007年12月,113.12
2008年1月,106.63
2008年2月,104.34
2008年3月,99.37
2008年4月,104.05
2008年5月,105.46
2008年6月,105.33
2008年7月,108.13
2008年8月,108.8
2008年9月,104.76
2008年10月,97.01
2008年11月,95.31
2008年12月,90.28
2009年1月,89.51
2009年2月,97.87
2009年3月,98.31
2009年4月,97.67
2009年5月,96.45
2009年6月,95.56
2009年7月,95.61
2009年8月,92.78
2009年9月,89.76
2009年10月,91.11
2009年11月,86.15
2009年12月,92.13
2010年1月,90.19
2010年2月,89.34
2010年3月,93.27
2010年4月,94.18
2010年5月,91.49
2010年6月,88.66
2010年7月,86.37
2010年8月,84.24
2010年9月,83.32
2010年10月,80.68
2010年11月,84.03
2010年12月,81.51
2011年1月,82.04
2011年2月,81.68
2011年3月,82.84
2011年4月,81.6
2011年5月,81.6
2011年6月,80.42
2011年7月,77.59
2011年8月,76.58
2011年9月,76.7
2011年10月,78.81
2011年11月,78.01
2011年12月,77.57
2012年1月,76.3
2012年2月,80.49
2012年3月,82.17
2012年4月,80.74
2012年5月,78.81
2012年6月,79.61
2012年7月,78.28
2012年8月,78.46
2012年9月,77.58
2012年10月,79.73
2012年11月,82.63
2012年12月,86.32
2013年1月,90.92
2013年2月,92.36
2013年3月,94.04
2013年4月,97.83
2013年5月,100.63
2013年6月,98.83
2013年7月,97.85
2013年8月,98.06
2013年9月,97.89
2013年10月,98.34
2013年11月,102.24
2013年12月,105.37
2014年1月,102.49
2014年2月,101.66
2014年3月,102.98
2014年4月,102.51
2014年5月,101.64
2014年6月,101.39
2014年7月,102.87
2014年8月,103.83
2014年9月,109.42
2014年10月,111.23
2014年11月,118.22
2014年12月,119.8
2015年1月,117.9
2015年2月,119.29
2015年3月,120.21
2015年4月,118.91
2015年5月,123.75
2015年6月,122.25
2015年7月,124.22
2015年8月,121.19
2015年9月,120.03
2015年10月,120.74
2015年11月,122.83
2015年12月,120.42
2016年1月,120.63
2016年2月,112.99
2016年3月,112.43
2016年4月,108.4
2016年5月,111.14
2016年6月,102.7
2016年7月,103.63
2016年8月,103.28
2016年9月,100.9
2016年10月,104.92
2016年11月,112.73
2016年12月,117.11
2017年1月,113.53
2017年2月,112.31
2017年3月,111.8
2017年4月,111.29
2017年5月,110.96
2017年6月,112.06
2017年7月,110.63
2017年8月,110.49
2017年9月,112.46
2017年10月,113.09
2017年11月,112.29
2017年12月,112.65
2018年1月,108.7
2018年2月,107.08
2018年3月,106.19
2018年4月,109.4
2018年5月,108.77
2018年6月,110.64
2018年7月,111.4
2018年8月,110.81
2018年9月,113.44
2018年10月,113.2
2018年11月,113.47
2018年12月,110.4
2019年1月,108.73
2019年2月,110.76
2019年3月,110.75
2019年4月,111.68
2019年5月,108.78
2019年6月,107.64
2019年7月,108.56
2019年8月,106.52
2019年9月,107.86
2019年10月,108.61
2019年11月,109.5
2019年12月,109.15
2020年1月,109.04
2020年2月,108.84
2020年3月,108.42
2020年4月,106.6
2020年5月,107.21
2020年6月,107.73
2020年7月,104.45
2020年8月,105.83
2020年9月,105.62
2020年10月,104.36
2020年11月,104.03
2020年12月,103.33
2021年1月,104.55
2021年2月,106.09
2021年3月,110.74
2021年4月,108.89
2021年5月,109.72
2021年6月,110.55
2021年7月,109.53
2021年8月,109.82
2021年9月,111.88
2021年10月,113.61
2021年11月,113.19
2021年12月,115.12
2022年1月,115.43
2022年2月,115.5
2022年3月,121.64
2022年4月,130.6
2022年5月,127.76
