「北海道」:5250000,
「青森県」:1246000,
「岩手県」:1227000,
「宮城県」:2306000,
「秋田県」:966000,
「山形県」:1078000,
「福島県」:1846000,
「茨城県」:2860000,
「栃木県」:1934000,
「群馬県」:1942000,
「埼玉県」:7350000,
「千葉県」:6259000,
「東京都」:13921000,
「神奈川県」:9198000,
「新潟県」:2223000,
「富山県」:1044000,
「石川県」:1138000,
「福井県」:768000,
「山梨県」:811000,
「長野県」:2049000,
「岐阜県」:1987000,
「静岡県」:3644000,
「愛知県」:7552000,
「三重県」:1781000,
「滋賀県」:1414000,
「京都府」:2583000,
「大阪府」:8809000,
「兵庫県」:5466000,
「奈良県」:1330000,
「和歌山県」:925000,
「鳥取県」:556000,
「島根県」:674000,
「岡山県」:1890000,
「広島県」:2804000,
「山口県」:1358000,
「徳島県」:728000,
「香川県」:956000,
「愛媛県」:1339000,
「高知県」:698000,
「福岡県」:5104000,
「佐賀県」:815000,
「長崎県」:1327000,
「熊本県」:1748000,
「大分県」:1135000,
「宮崎県」:1073000,
「鹿児島県」:1602000,
「沖縄県」:1453000
