内径,線径
5.23 ,2.62 
5.28 ,0.79 
5.28 ,0.80 
5.28 ,1.40 
5.28 ,1.78 
5.30 ,2.40 
5.30 ,2.50 
5.31 ,1.27 
5.33 ,2.16 
5.34 ,1.82 
5.35 ,0.55 
5.36 ,0.81 
5.41 ,1.02 
5.48 ,0.57 
5.50 ,1.00 
5.50 ,1.20 
5.50 ,1.50 
5.50 ,1.80 
5.50 ,2.00 
5.52 ,2.35 
5.53 ,0.64 
5.59 ,3.05 
5.60 ,1.00 
5.60 ,1.80 
5.60 ,1.90 
5.94 ,3.53 
5.96 ,0.76 
5.97 ,1.14 
6.00 ,0.50 
6.00 ,1.00 
6.00 ,1.50 
6.00 ,1.60 
6.00 ,1.93 
6.00 ,2.00 
6.00 ,2.20 
6.00 ,2.50 
6.00 ,3.00 
6.00 ,5.00 
6.02 ,2.62 
6.07 ,0.63 
6.07 ,0.64 
6.07 ,0.79 
6.07 ,1.02 
6.07 ,1.27 
6.07 ,1.30 
6.07 ,1.63 
6.07 ,1.78 
6.07 ,1.88 
6.10 ,0.84 
6.10 ,1.60 
6.10 ,2.60 
6.15 ,0.80 
6.17 ,1.72 
6.20 ,0.40 
6.20 ,1.10 
6.20 ,1.20 
6.30 ,1.22 
6.30 ,2.00 
6.30 ,2.40 
6.35 ,0.89 
6.35 ,1.27 
6.35 ,1.78 
6.35 ,2.50 
6.40 ,0.30 
6.40 ,1.40 
6.40 ,1.90 
6.50 ,0.70 
6.50 ,1.00 
6.50 ,1.20 
6.50 ,1.25 
6.80 ,0.85 
6.80 ,1.42 
6.80 ,1.90 
6.80 ,2.00 
6.80 ,2.40 
6.90 ,1.80 
7.00 ,0.50 
7.00 ,1.00 
7.00 ,1.50 
7.00 ,1.70 
7.00 ,2.00 
7.00 ,2.50 
7.00 ,3.00 
7.01 ,0.51 
7.01 ,1.19 
7.10 ,1.60 
7.10 ,2.00 
7.11 ,1.14 
7.19 ,0.66 
7.20 ,0.65 
7.20 ,0.70 
7.20 ,1.90 
7.20 ,2.20 
7.30 ,2.20 
7.30 ,2.40 
7.40 ,3.40 
7.45 ,1.20 
7.50 ,0.60 
7.50 ,0.80 
7.50 ,1.17 
7.50 ,1.50 
7.50 ,1.80 
7.50 ,2.00 
7.50 ,2.50 
7.50 ,3.00 
7.50 ,3.40 
7.52 ,3.53 
7.59 ,2.62 
7.60 ,1.20 
7.60 ,2.40 
7.61 ,2.40 
7.65 ,0.89 
7.65 ,1.02 
7.65 ,1.37 
7.65 ,1.63 
8.00 ,1.25 
8.00 ,1.30 
8.00 ,1.50 
8.00 ,1.60 
8.00 ,1.80 
8.00 ,1.90 
8.00 ,2.00 
8.00 ,2.20 
8.00 ,2.40 
8.00 ,2.50 
8.00 ,3.00 
8.00 ,4.00 
8.00 ,4.75 
8.04 ,1.00 
8.10 ,0.45 
8.10 ,1.60 
8.10 ,3.00 
8.15 ,1.02 
8.20 ,0.90 
8.20 ,1.50 
8.25 ,0.86 
8.28 ,1.17 
8.30 ,2.40 
8.31 ,1.00 
8.37 ,1.27 
8.38 ,1.27 
8.40 ,1.20 
8.40 ,1.90 
8.43 ,0.79 
8.45 ,0.55 
8.50 ,1.00 
8.50 ,1.50 
8.50 ,2.00 
8.50 ,2.30 
8.51 ,1.78 
8.55 ,1.75 
8.56 ,0.51 
8.60 ,1.80 
8.60 ,2.40 
8.64 ,2.03 
8.70 ,1.70 
8.70 ,3.00 
8.73 ,1.78 
8.75 ,1.70 
8.80 ,1.50 
9.12 ,3.53 
9.14 ,1.52 
9.15 ,2.40 
9.15 ,3.00 
9.16 ,2.62 
9.19 ,2.62 
9.25 ,0.89 
9.25 ,1.14 
9.25 ,1.27 
9.25 ,1.78 
9.25 ,2.00 
9.30 ,0.63 
9.30 ,1.50 
9.30 ,2.40 
9.40 ,1.02 
9.40 ,1.20 
9.40 ,1.27 
9.40 ,1.30 
9.40 ,1.90 
9.45 ,1.70 
9.50 ,0.51 
9.50 ,0.80 
9.50 ,1.00 
9.50 ,1.40 
9.50 ,1.50 
9.50 ,1.60 
9.50 ,2.00 
9.52 ,1.78 
9.53 ,1.57 
9.53 ,1.78 
9.60 ,2.40 
9.60 ,2.70 
9.62 ,2.00 
9.70 ,2.25 
9.73 ,3.68 
9.75 ,1.70 
9.75 ,1.78 
9.80 ,1.90 
9.80 ,2.40 
9.80 ,4.50 
9.85 ,1.73 
9.91 ,1.78 
9.92 ,1.83 
9.92 ,2.62 
10.00 ,0.40 
10.30 ,1.80 
10.30 ,2.40 
10.31 ,0.79 
10.31 ,1.73 
10.40 ,1.00 
10.40 ,1.10 
10.41 ,1.27 
10.46 ,5.33 
10.49 ,0.79 
10.50 ,0.80 
10.50 ,1.50 
10.50 ,1.90 
10.50 ,2.00 
10.50 ,2.70 
10.52 ,1.83 
10.60 ,0.60 
10.60 ,1.60 
10.60 ,1.80 
10.60 ,2.40 
10.60 ,2.80 
10.64 ,1.12 
10.69 ,3.53 
10.70 ,1.50 
10.77 ,2.62 
10.78 ,2.62 
10.80 ,1.80 
10.80 ,2.40 
10.80 ,2.50 
10.80 ,2.80 
10.80 ,2.83 
10.82 ,0.64 
10.82 ,0.89 
10.82 ,1.14 
10.82 ,1.27 
10.82 ,1.78 
10.85 ,1.85 
11.00 ,0.40 
11.00 ,0.66 
11.00 ,1.00 
11.00 ,1.30 
11.00 ,1.50 
11.00 ,1.90 
11.00 ,2.00 
11.00 ,2.40 
11.00 ,2.50 
11.50 ,1.00 
11.50 ,1.50 
11.50 ,1.60 
11.50 ,1.80 
11.50 ,2.00 
11.50 ,2.50 
11.60 ,0.70 
11.60 ,1.20 
11.60 ,2.40 
11.63 ,1.35 
11.65 ,1.50 
11.65 ,2.30 
11.70 ,2.25 
11.70 ,2.50 
11.73 ,0.51 
11.80 ,1.50 
11.80 ,1.80 
11.80 ,1.90 
11.80 ,2.10 
11.80 ,2.40 
11.89 ,1.98 
11.90 ,0.50 
11.91 ,0.30 
11.91 ,0.81 
11.91 ,1.60 
11.91 ,2.62 
12.00 ,0.60 
12.00 ,1.00 
12.00 ,1.10 
12.00 ,1.20 
12.00 ,1.50 
12.00 ,1.55 
12.00 ,2.00 
12.00 ,2.50 
12.00 ,3.00 
12.00 ,4.00 
12.07 ,5.33 
12.10 ,1.60 
12.10 ,1.70 
12.10 ,2.70 
12.19 ,1.00 
12.20 ,1.90 
12.29 ,3.53 
12.30 ,1.65 
12.30 ,1.90 
12.50 ,2.40 
12.57 ,1.14 
12.60 ,0.75 
12.60 ,2.40 
12.70 ,1.57 
12.70 ,2.50 
12.73 ,1.57 
12.78 ,6.05 
12.80 ,0.60 
12.80 ,0.66 
12.80 ,2.40 
12.80 ,3.20 
12.90 ,1.24 
13.00 ,0.30 
13.00 ,0.50 
13.00 ,0.85 
13.00 ,0.90 
13.00 ,1.00 
13.00 ,1.50 
13.00 ,1.90 
13.00 ,2.00 
13.00 ,2.40 
13.00 ,2.50 
13.00 ,3.00 
13.00 ,4.00 
13.00 ,5.00 
13.10 ,1.60 
13.10 ,2.62 
13.20 ,1.80 
13.25 ,1.50 
13.30 ,0.80 
13.30 ,2.40 
13.34 ,1.80 
13.40 ,1.90 
13.40 ,2.50 
13.40 ,2.70 
13.46 ,1.40 
13.46 ,2.08 
13.47 ,2.08 
13.50 ,0.80 
13.50 ,1.50 
13.50 ,2.00 
13.50 ,2.50 
13.50 ,2.77 
13.50 ,4.00 
13.94 ,2.62 
13.95 ,2.62 
14.00 ,0.40 
14.00 ,0.50 
14.00 ,0.81 
14.00 ,1.00 
14.00 ,1.30 
14.00 ,1.50 
14.00 ,1.60 
14.00 ,1.78 
14.00 ,1.80 
14.00 ,2.00 
14.00 ,2.40 
14.00 ,2.50 
14.00 ,2.65 
14.00 ,3.00 
14.00 ,4.00 
14.10 ,1.60 
14.20 ,0.76 
14.29 ,6.35 
14.30 ,2.40 
14.43 ,1.78 
14.50 ,0.60 
14.50 ,1.00 
14.50 ,1.50 
14.50 ,1.60 
14.50 ,2.00 
14.50 ,2.50 
14.50 ,4.00 
14.60 ,2.40 
14.60 ,3.50 
14.68 ,1.02 
14.70 ,1.50 
14.75 ,0.50 
14.80 ,1.50 
14.80 ,1.90 
14.80 ,2.40 
14.81 ,0.51 
14.81 ,1.78 
14.90 ,1.90 
14.90 ,1.93 
14.94 ,2.92 
15.00 ,0.30 
15.00 ,0.40 
15.00 ,0.50 
15.20 ,1.78 
15.20 ,2.80 
15.22 ,2.62 
15.24 ,5.33 
15.30 ,2.20 
15.30 ,2.40 
15.47 ,3.53 
15.50 ,0.50 
15.50 ,1.50 
15.50 ,2.50 
15.50 ,3.00 
15.54 ,2.62 
15.60 ,1.78 
15.60 ,2.40 
15.62 ,1.14 
15.65 ,1.14 
15.65 ,7.49 
15.70 ,2.25 
15.80 ,0.35 
15.80 ,0.80 
15.80 ,1.90 
15.80 ,2.40 
15.88 ,0.56 
15.88 ,0.79 
15.88 ,1.78 
15.88 ,2.36 
15.88 ,2.62 
15.88 ,3.96 
15.90 ,2.25 
15.90 ,2.55 
16.00 ,0.40 
16.00 ,0.50 
16.00 ,0.53 
16.00 ,0.60 
16.00 ,0.80 
16.00 ,1.00 
16.00 ,1.25 
16.00 ,1.50 
16.00 ,1.80 
16.00 ,2.00 
16.00 ,2.50 
16.00 ,2.65 
16.00 ,2.70 
16.00 ,3.00 
16.00 ,4.00 
16.50 ,0.40 
16.50 ,0.50 
16.50 ,0.60 
16.50 ,0.70 
16.50 ,0.80 
16.50 ,1.00 
16.50 ,2.00 
16.50 ,2.70 
16.50 ,2.80 
16.51 ,1.14 
16.60 ,0.60 
16.60 ,0.65 
16.60 ,0.75 
16.60 ,2.40 
16.65 ,0.95 
16.66 ,1.91 
16.70 ,0.40 
16.70 ,2.50 
16.74 ,0.81 
16.76 ,0.43 
16.79 ,1.00 
16.80 ,1.90 
16.80 ,2.40 
16.80 ,5.33 
16.90 ,2.10 
16.90 ,2.70 
16.90 ,3.10 
17.00 ,0.30 
17.00 ,0.40 
17.00 ,0.50 
17.00 ,0.60 
17.00 ,0.70 
17.00 ,1.00 
17.00 ,1.50 
17.00 ,1.80 
17.00 ,2.00 
17.00 ,2.50 
17.00 ,2.65 
17.00 ,3.00 
17.04 ,3.53 
17.10 ,1.60 
17.12 ,2.62 
17.12 ,2.87 
17.17 ,1.78 
17.20 ,1.80 
17.60 ,0.90 
17.60 ,1.30 
17.60 ,2.40 
17.70 ,0.40 
17.70 ,0.41 
17.70 ,2.25 
17.70 ,2.55 
17.70 ,4.10 
17.74 ,1.78 
17.75 ,2.54 
17.80 ,0.50 
17.80 ,0.70 
17.80 ,1.50 
17.80 ,1.90 
17.80 ,2.40 
17.80 ,5.00 
17.86 ,2.62 
17.88 ,0.56 
17.90 ,1.10 
17.93 ,1.78 
17.93 ,2.46 
17.96 ,2.62 
18.00 ,0.30 
18.00 ,0.40 
18.00 ,0.50 
18.00 ,0.55 
18.00 ,0.60 
18.00 ,0.70 
18.00 ,0.80 
18.00 ,1.00 
18.00 ,1.30 
18.00 ,1.50 
18.00 ,1.90 
18.00 ,2.00 
18.00 ,2.20 
18.00 ,2.50 
18.00 ,2.65 
18.00 ,3.00 
18.00 ,3.50 
18.00 ,4.00 
18.00 ,5.00 
18.10 ,1.60 
18.15 ,1.30 
18.20 ,0.60 
18.20 ,0.70 
18.50 ,0.70 
18.50 ,0.80 
18.50 ,0.90 
18.50 ,1.30 
18.50 ,1.50 
18.50 ,1.60 
18.50 ,2.50 
